"","main_data.Enter_a_date","main_data.Country","main_data.Organization_Name","main_data.Site_ID","main_data.Timeframe","main_data.OtherTime","main_data.SiteType","main_data.Start_Time","main_data.End_Time","main_data.Plot_ID","main_data.Plot_Type","main_data.SiteSize","main_data.ControlSize","main_data.Plot_Permanence","main_data.Strata_Number","main_data.Resampling1","main_data.TreesPresent","main_data.PlantingPattern","main_data.Coordinate_System_Used","main_data.Northeast_Corner_of_30m_x_30m_Plot","main_data.NE_Photo","main_data.NE_Photo_Small_Site","main_data.Southeast_Corner_of_30m_x_30m_Plot","main_data.SE_Photo","main_data.SE_Photo_SmallSites","main_data.Southwest_Corner_of_30m_x_30m_Plot","main_data.SW_Photo","main_data.SW_Photo_SmallSites","main_data.Northwest_Corner_of_30m_x_30m_Plot","main_data.NW_Photo","main_data.NW_Photo_SmallSites","main_data.Centroid_of_3m_x_3m_Subplot2","main_data.Centroid_of_3m_x_3m_Subplot1","main_data.Centroid_of_3m_x_3m_Subplot","main_data.Photos","main_data.Photos4","main_data.Northeast_Corner_of_10m_x_10m_Plot","main_data.Southeast_Corner_of_10m_x_10m_Plot","main_data.Southwest_Corner_of_10m_x_10m_Plot","main_data.Northwest_Corner_of_10m_x_10m_Plot","main_data.Notes5","main_data.Notes11","main_data.Description_of_subpl_ithin_30m_x_30m_plot1","main_data.Additional_Photos_Optional1","main_data.Notes21","main_data.Resampling2","main_data.LittleTreesPresent","main_data.Notes17","main_data.Description_of_subpl_ithin_30m_x_30m_plot2","main_data.Additional_Photos_Optional3","main_data.Notes14","main_data.TinyTrees","main_data.File","main_data.X_index","main_data.X_id","main_data.uuid","main_data.X__version__","main_data.instanceID","main_data.X_xform_id_string","main_data.X_uuid","main_data.X_status","main_data.X_submission_time","main_data.X_submitted_by","main_data.Corner_Photo_Taken_From1_001","main_data.Photo_of_AB_Sightline2","main_data.Photo_of_AC_Sightline2","main_data.Photo_of_AD_Sightline2","main_data.Photo_of_AB_Sightline1","main_data.Photo_of_AC_Sightline1","main_data.Photo_of_AD_Sightline1","main_data.Corner_Photo_Taken_From1","main_data.rootUuid","main_data.deprecatedID"
"1",2022-06-16,NA,"Test","Test","Y2.5",NA,"Restoration","10:30:00.000-04:00","10:45:00.000-04:00","Test","restoration",NA,NA,"Permanent",NA,"0",NA,"Test","Test","42.206821 -85.76241 0 0",NA,NA,"-14.150777 -56.913526 0 0",NA,NA,"16.4115 -8.362966 0 0",NA,NA,"3.513421 33.854913 0 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,163622967,"5fd2c309dc8446ada30a1db9fd875804","vwzPz2e7nNtdxdiAcRbjFf","uuid:bf164097-aa30-4b0c-b497-326010aba216","axhiGJQ8JzwkTYcgDTroJu","bf164097-aa30-4b0c-b497-326010aba216","submitted_via_web",2022-06-16 14:31:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2022-09-30,NA,"test","1","Y0",NA,"Restoration","18:30:00.000+02:00","19:00:00.000+02:00","45((634","Restoration","Yes",NA,"Permanent","no","1",NA,"a","a","49.22567 2.485362 870 1",NA,NA,"49.22567 2.485363 0 0",NA,NA,"49.22567 2.485365 0 0",NA,NA,"49.22567 2.485364 0 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,189066260,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:6233b66b-e091-45db-a979-0b394487399d","axhiGJQ8JzwkTYcgDTroJu","6233b66b-e091-45db-a979-0b394487399d","submitted_via_web",2022-09-30 16:39:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2022-10-03,NA,"Chantilly-451-49","Chantilly","Y0",NA,"Restoration","10:30:00.000+02:00","10:54:00.000+02:00","251-49","Restoration","Yes",NA,"Permanent",NA,"0",NA,"Arbre planté en ligne tous les 2 mètres sur des cloisonnements tous les 5 mètres","Lambert 93","49.142537 2.393568 86.783935546875 7.926000118255615",NA,NA,"49.14301 2.393679 88.362548828125 6.2829999923706055",NA,NA,"49.142877 2.393982 77.47021484375 6.6529998779296875",NA,NA,"49.142571 2.394031 71.5987548828125 8.154000282287598",NA,NA,"49.142894 2.393863 125.5118408203125 7.363999843597412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"Centre sud de la placette","16647872092926664282381321901998-10_54_4.jpg",NA,NA,NA,3,189469011,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:f249d942-0033-4498-8f4d-12dcca83a0a3","axhiGJQ8JzwkTYcgDTroJu","f249d942-0033-4498-8f4d-12dcca83a0a3","submitted_via_web",2022-10-03 09:13:32,NA,"northeast","16647867239183217965871780471352-10_45_47.jpg","16647867530562710682731656171905-10_46_4.jpg","16647867700588652795378668888659-10_46_20.jpg",NA,NA,NA,NA,NA,NA
"4",2022-10-03,NA,"Reforest action","Chantilly-451-46","Y0",NA,"Restoration","11:08:00.000+02:00","11:23:00.000+02:00","46","Restoration","Yes",NA,"Permanent",NA,"0",NA,"Plantation tous les 3 mètre avec cloiso de 5m","Lambert 93","49.143761 2.393227 88.5284423828125 9.086000442504883",NA,NA,"49.143944 2.39318 71.0947265625 10.513999938964844",NA,NA,"49.144 2.393636 84.7254638671875 3.809000015258789",NA,NA,"49.143713 2.393744 72.0615234375 8.380999565124512",NA,NA,"49.143769 2.393435 121.1212158203125 8.017999649047852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Régénération de chêne bien place","Au nord de la placette","16647889135228304340214936275247-11_22_18.jpg",NA,NA,NA,4,189528021,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:23dd1f64-9cea-4a5a-98fb-587ac0541121","axhiGJQ8JzwkTYcgDTroJu","23dd1f64-9cea-4a5a-98fb-587ac0541121","submitted_via_web",2022-10-03 13:08:03,NA,NA,"16647885668692633003379072493410-11_16_46.jpg","16647886157868163354356298611462-11_17_9.jpg","16647886363432198021834087396822-11_17_41.jpg",NA,NA,NA,NA,NA,NA
"5",2022-10-03,NA,"Reforest ’ ACTION","Chantilly-451-43","Y0",NA,"Restoration","12:00:00.000+02:00","12:15:00.000+02:00","43","Restoration","Yes",NA,"Permanent",NA,"1",NA,"Idem 46","Lambert 93","49.144396 2.392061 101.69427490234375 7.767000198364258",NA,NA,"49.144424 2.391548 66.7218017578125 5.650000095367432",NA,NA,"49.144654 2.392234 73.9578857421875 7.988999843597412",NA,NA,"49.144159 2.391644 108.30059814453125 9.475000381469727",NA,NA,"49.144557 2.391878 75.36767578125 11.972999572753906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Au sud de la placette",NA,NA,NA,NA,5,189528140,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:5ec5f998-6958-4f92-bef7-54b3dbeed5fb","axhiGJQ8JzwkTYcgDTroJu","5ec5f998-6958-4f92-bef7-54b3dbeed5fb","submitted_via_web",2022-10-03 13:08:44,NA,"southeast","1664791532878982200307480780860-12_5_43.jpg","16647915532907076487963834385164-12_6_5.jpg","16647915727069097555052897695431-12_6_21.jpg",NA,NA,NA,NA,NA,NA
"6",2022-10-03,NA,"Reforest ’action","Chantilly-451-42","Y0",NA,"Restoration","12:18:00.000+02:00","12:28:00.000+02:00","42","Restoration","Yes",NA,"Permanent",NA,"0",NA,"Idem46","Lambert 93","49.143889 2.391064 73.49530029296875 8.220999717712402",NA,NA,"49.144258 2.390917 84.05877685546875 10.34000015258789",NA,NA,"49.144321 2.391414 86.6058349609375 6.0980000495910645",NA,NA,"49.144049 2.391374 74.486572265625 6.144000053405762",NA,NA,"49.144012 2.391071 76.784423828125 8.989999771118164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"Milieu placette","16647929219507486487339386944561-12_28_48.jpg",NA,NA,NA,6,189528190,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:92a4d70d-d8b5-4f63-b5e7-e6d91e01ac1b","axhiGJQ8JzwkTYcgDTroJu","92a4d70d-d8b5-4f63-b5e7-e6d91e01ac1b","submitted_via_web",2022-10-03 13:08:52,NA,"northwest","16647925063564510485486944654789-12_21_57.jpg","16647925249912958967334461110684-12_22_28.jpg","16647925553446375089630103694246-12_22_44.jpg",NA,NA,NA,NA,NA,NA
"7",2022-10-03,NA,"Reforest action","Chantilly-451-41","Y0",NA,"Restoration","12:37:00.000+02:00","12:44:00.000+02:00","41","Restoration","Yes",NA,"Permanent",NA,"0",NA,"Idem 46","Lambert","49.143343 2.390545 86.88922119140625 7.84499979019165",NA,NA,"49.14338 2.390662 58.9119873046875 15.845000267028809",NA,NA,"49.143588 2.390794 82.31964111328125 5.835000038146973",NA,NA,"49.143561 2.390803 88.36688232421875 8.29800033569336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,7,189528232,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:9217974c-0957-4ecd-9162-11aaaf9d9b3e","axhiGJQ8JzwkTYcgDTroJu","9217974c-0957-4ecd-9162-11aaaf9d9b3e","submitted_via_web",2022-10-03 13:09:01,NA,"southeast","16647933820795193674326414698734-12_36_31.jpg","16647934015906324668743582360318-12_36_58.jpg","16647934281095566219728701262136-12_37_14.jpg",NA,NA,NA,NA,NA,NA
"8",2022-10-03,NA,"Reforest action","Chantilly-451-40","Y0",NA,"Control","12:51:00.000+02:00","13:05:00.000+02:00","41","Control",NA,"Yes",NA,NA,NA,NA,NA,"Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.142654 2.392267 90.9244384765625 9.732000350952148",NA,NA,NA,"49.142588 2.39193 104.43328857421875 11.899999618530273","49.142748 2.391948 99.960205078125 7.936999797821045","49.142851 2.391923 93.65966796875 5.724999904632568","49.14272 2.391759 111.41583251953125 6.2220001220703125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,189529455,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:f15aeb99-f04a-4408-abde-6e2783d070a6","axhiGJQ8JzwkTYcgDTroJu","f15aeb99-f04a-4408-abde-6e2783d070a6","submitted_via_web",2022-10-03 13:13:59,NA,NA,NA,NA,NA,"1664794626084150368945181138703-12_57_13.jpg","16647946381558512125409165457567-12_57_25.jpg","16647946517055193460289281338085-12_57_38.jpg",NA,NA,NA
"9",2022-10-03,NA,"Reforest action","Chantilly-451-44","Y0",NA,"Restoration","11:33:00.000+02:00","11:42:00.000+02:00","44","Restoration","Yes",NA,"Permanent",NA,"0",NA,"Idem 46","Lambert","49.144425 2.393435 65.87213134765625 14.397000312805176",NA,NA,"49.144732 2.393299 83.71246337890625 5.558000087738037",NA,NA,"49.144793 2.393639 78.26739501953125 8.829999923706055",NA,NA,"49.14444 2.393689 87.75592041015625 8.140000343322754",NA,NA,"49.144675 2.393601 85.5123291015625 10.46399974822998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,9,189530391,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:b0980ed6-f156-4ef6-9f94-4057f18c8121","axhiGJQ8JzwkTYcgDTroJu","b0980ed6-f156-4ef6-9f94-4057f18c8121","submitted_via_web",2022-10-03 13:17:51,NA,"southeast","16647900372066798463710592187680-11_40_49.jpg","16647900591792382326128166589870-11_41_5.jpg","1664790070986392923262722903790-11_41_17.jpg",NA,NA,NA,NA,NA,NA
"10",2022-10-03,NA,"Reforest ’action","Chantilly-523-28","Y0",NA,"Restoration","14:51:00.000+02:00","15:09:00.000+02:00","28","Restoration","Yes",NA,"Permanent",NA,"0",NA,"1 plante à chaque 2m, distance entre Ligne de 5m","Lambert 93","49.141438 2.406476 99.8380126953125 13.791000366210938",NA,NA,"49.14151 2.406567 98.184814453125 9.788999557495117",NA,NA,"49.141432 2.406841 94.62298583984375 12.913999557495117",NA,NA,"49.14118 2.406794 90.08917236328125 7.793000221252441",NA,NA,"49.141172 2.406608 85.532958984375 15.222999572753906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"Petit hêtre à côté",NA,"16648021973261592661715682975349-15_3_27.jpg",NA,NA,NA,10,189531213,"5fd2c309dc8446ada30a1db9fd875804","v9BsMU5gh9p2Gqx9STGsqQ","uuid:a82dcba1-a643-4d1d-8205-6eaab34c6cce","axhiGJQ8JzwkTYcgDTroJu","a82dcba1-a643-4d1d-8205-6eaab34c6cce","submitted_via_web",2022-10-03 13:21:50,NA,"northeast","16648018685504277432282498378398-14_58_11.jpg","16648018985222602792933930457430-14_58_43.jpg","16648019286412887956090006566723-14_59_5.jpg",NA,NA,NA,NA,NA,NA
