"","geolocation.lat","geolocation.lon","geolocation._index","geolocation._parent_index","geolocation._parent_table","geolocation.Data_type","geolocation._id"
"1",42.206821,-85.76241,1,1,"main","_geolocation",163622967
"2",49.22567,2.485362,1,2,"main","_geolocation",189066260
"3",49.142537,2.393568,1,3,"main","_geolocation",189469011
"4",49.143761,2.393227,1,4,"main","_geolocation",189528021
"5",49.144396,2.392061,1,5,"main","_geolocation",189528140
"6",49.143889,2.391064,1,6,"main","_geolocation",189528190
"7",49.143343,2.390545,1,7,"main","_geolocation",189528232
"8",49.142588,2.39193,1,8,"main","_geolocation",189529455
"9",49.144425,2.393435,1,9,"main","_geolocation",189530391
"10",49.141438,2.406476,1,10,"main","_geolocation",189531213
"11",49.139677,2.406256,1,11,"main","_geolocation",189532405
"12",49.140423,2.405546,1,12,"main","_geolocation",189551226
"13",49.141272,2.4063,1,13,"main","_geolocation",189563709
"14",49.138616,2.406486,1,14,"main","_geolocation",189663249
"15",49.138831,2.405133,1,15,"main","_geolocation",189663315
"16",49.139403,2.40569,1,16,"main","_geolocation",189663334
"17",49.139387,2.404402,1,17,"main","_geolocation",189663359
"18",49.139213,2.403948,1,18,"main","_geolocation",189663391
"19",49.209078,2.499167,1,19,"main","_geolocation",189725199
"20",49.158466,2.54097,1,20,"main","_geolocation",190955924
"21",49.157837,2.541004,1,21,"main","_geolocation",190955945
"22",49.156989,2.540537,1,22,"main","_geolocation",190955967
"23",49.157077,2.541261,1,23,"main","_geolocation",190955982
"24",49.156336,2.541598,1,24,"main","_geolocation",190956010
"25",49.155462,2.540978,1,25,"main","_geolocation",190956049
"26",49.155303,2.541184,1,26,"main","_geolocation",190956064
"27",49.155644,2.541813,1,27,"main","_geolocation",190956088
"28",49.156369,2.542281,1,28,"main","_geolocation",190956140
"29",49.157588,2.542334,1,29,"main","_geolocation",190956170
"30",49.158898,2.542858,1,30,"main","_geolocation",190956190
"31",49.208339,2.497324,1,31,"main","_geolocation",190956218
"32",49.207478,2.496585,1,32,"main","_geolocation",190956247
"33",49.206855,2.49642,1,33,"main","_geolocation",190956306
"34",49.206539,2.497983,1,34,"main","_geolocation",190956376
"35",49.206362,2.499109,1,35,"main","_geolocation",190956404
"36",49.205495,2.500651,1,36,"main","_geolocation",190956437
"37",49.206579,2.500882,1,37,"main","_geolocation",190956468
"38",49.207514,2.500752,1,38,"main","_geolocation",190956469
"39",49.208909,2.500221,1,39,"main","_geolocation",190956488
"40",25.010794,56.3536,1,40,"main","_geolocation",206438443
"41",25.0125,56.353525,1,41,"main","_geolocation",206440717
"42",25.01169271,56.3535644,1,42,"main","_geolocation",209222202
"43",25.013053,56.356044,1,43,"main","_geolocation",209227370
"44",25.01303,56.35626,1,44,"main","_geolocation",209230939
